Cluster,Data Points
433,"vivian park, vivian, vivian park suites"
434,"mutaab suites, mutaab suites  azdhar 2"
435,"masah, masah hotel, masah apartments, masah furnished apartments, masah suites"
436,"nibras chalets, nibras suites"
437,"ain grand hotel apartments, manazel  ain grand"
438,"blue inn boutique, blue inn"
439,"nora bisha, nora"
440,"safa  bawadi, bawadi, bawadi"
441,"hayat riyadh, hayat riyadh hotel, hayat palace riyadh, hayat  riyadh"
442,"saraya cordoba apartments, cordoba"
443,"asa oasis, asa apartments"
444,"jelnar  madinah, jelnar, jelnar resort"
445,"quraish hotel, quraish residences"
446,"hamed bin marzouq  ziyadi hotels  tourism, hamed bin marzouq  zayadi hotels  tourism"
447,"hail house, hail house furnished units"
448,"ayeri furnished units tabuk, ayeri furnished units jeddah 4"
449,"karim, karim city hotel"
450,"ayari furnished residenti units, ayari residenti units, ayari furnished residenti units   dammam 2, ayari furnished residenti units   makkah 4"
451,"executive hotel, executive suites, executive suites apartments"
452,"amjad tower mina, amjad tower 4"
453,"rayana palace, qasr rayana, rayana"
454,"best trip paris, best trip"
455,"whisper suites, whisper, whisper hotel apartments"
456,"rawasi, rawasi, dar  rawasi, rawasi"
457,"shahama, arkan  shahama"
458,"anwar  dahya, dahya hotel"
459,"mohammed ibrahim  tamimi, mohammed bin ibrahim bin mohammed  tamimi apartments"
460,"sultan  aziziyyah, aziziyyah apartments"
461,"laith hotel apartments, laith makarem"
462,"le levels residency, le levels"
463,"zahrat  saad, zahrat  saad four, zahrat  saad 5"
464,"beit mardin apartments, mardin furnished apartments"
465,"rayan towers makkah, rayan makkah, rayan makkah 2"
466,"abyar residences 2, abyar hotel"
467,"vivienda hotel villas, vivienda villas, vivienda villas  hada"
468,"rose  nuzha hotel, nuzha, nuzha hotel"
469,"gulf palace hotel, gulf palace residence, gulf palace"
470,"palace  bilqis, dar bilqis"
471,"wissam, wissam tower, wissam suites"
472,"rodina  sharq, rodina palace, rodina"
473,"dar kan'an, kan'an apartments jeddah, kan'an suites, kan'an, kan'an jeddah"
474,"awael, awael  zahabi"
475,"swiss in park tabuk, swiss in tabuk, swiss in park"
476,"jumana hotel, jumana, jumana resort, jumana"
477,"taiba kareem hotel management establishment, taiba kareem"
478,"dana  masiah, masiah, masiah apartments"
479,"rida, rida, rida furnished apartments, rida house"
480,"anfa, anfa serviced apartments"
481,"rayan resort apartments, reef rayan resort"
482,"arayek  sharq, arayek, arayek apartments"
483,"ryan  namas, ryan  namas residenti units"
484,"business inn tahlia, business inn"
485,"azha palace, azha apartments"
486,"courtyard  marriott, courtyard  marriott jazan, marriott courtyard, courtyard marriott"
487,"new pearl   east, new pearl   east furnished apartments establishment"
488,"dar  shariah, shariah"
489,"hayat hara'a, hara suites"
490,"s.residence, residence inn"
491,"tara suites, tara, tara hotel"
492,"alfakhama, alfakhama orchid hotel 2"
493,"holiday villa bakkah, holiday inn bakkah"
494,"jamal yanbu hotel company, jamal hotel"
495,"qasr hotel apartments (single person), qasr  hotel apartments (single person), qasr serviced apartments (single person company)"
496,"nusaym layl  musayf, nusaym layl"
497,"qasr rivan, rivan suites, rivan palace, rivan"
498,"aren palace, aren apartments, aren jeddah, aren hotel"
499,"time, yanbu time"
500,"armada, armada palace, armada suites hotel"
501,"muhaidb tahliya, tahliya"
502,"elaf hotels limited, elaf hotel makkah (branch  elaf hotels limited)"
503,"rental apartments, monthly rental apartments"
504,"hospitality, hospitality palace"
505,"jaw  il, jaw  a'il furnished apartments"
506,"sanad, sanad villa"
507,"golden dream, golden dream hotel"
508,"jazan hotel, jazan"
509,"sereen 2 chalets, qasr sereen, sereen, sereen 4"
510,"fares tower, fares, dar fares apartments"
511,"durrat mina, mina apartments"
512,"rahaf  mashaer, rahaf"
513,"jawahara, bariq  jawahara"
514,"hamra hotel, hamra hotel, jeddah  hamra hotel"
515,"jawhara  mawasem, mawasem"
516,"lujain  khair, lujain  khair two"
517,"zaidan  furnished units, zaidan, zaidan hotel, zaidan"
518,"talah resort, talah suites, talah apartments, talah house, talah"
519,"jawharat  sara hotel suites, jawharat  sara furnished apartments"
520,"business tower, business tower bisha"
521,"ayeri, ayeri 3, ayeri riyadh"
522,"basil, basil apartments, basil hotel, basil palace"
523,"ya, hotel  ya"
524,"paradise durrat  arus chet, durrat  arus chet"
525,"leen nights, leen"
526,"wasam, durrat  wasam"
527,"mfa  khobar, mfa hotel"
528,"qurban suites, dar qurban"
529,"durrat  wahda, wahda, wahda hotel, wahda tower"
530,"sunset alula villa, sunset villa"
531,"bashair yacht chets, yacht chets"
532,"wakkan hotel jeddah, wakkan apartments, wakkan, wakkan hotel"
533,"elite suites, elite home suites"
534,"fakhir, bayan  fakhir"
535,"laylat wed, laylat wed apts"
536,"azdia, azdia apartments"
537,"hareer, hareer apartments"
538,"taj jeddah, taj jeddah hotel apartments"
539,"zain tabuk residential units, zain tabuk, zain tabuk apartment"
540,"nilever apartments, nilever  khobar"
541,"dream suites, dream apartments, dream"
542,"tut house jeddah, tut house"
543,"sabeel, sabeel hotel apartments"
544,"waw hotel suites, waw"
545,"muharraq apartments, muharraq"
546,"roshan, roshan 2, roshan  dar, roshan"
547,"granada palace inn, granada palace"
548,"hotel management company, hotel management"
549,"xian hotel, xian"
550,"abat park, abat apartments, abat hotel suites, abat"
551,"nahdi furnished residenti units, nahdi furnished residential units"
552,"rose suites, rose hotel suites"
553,"carm, carm hotel"
554,"khobar apartments, khobar hotel"
555,"sama furnished residential units, sama  qasr furnished units, sama furnished units"
556,"jawharat alsafa, alsafa"
557,"pearl palace, golden palace pearl hotel"
558,"durrat  aroos, durrat  aroos chets, durrat  aroos villa"
559,"dar  ma'moon, dar moon"
560,"reem hotels company (single person company), elegant hotels  tourism company (single person company)"
561,"dar layalina, layalina, layalina apartments"
562,"jannat  sha'ab, jannat  sha'b"
563,"tranquility beach hotel, beach tranquility"
564,"ayedi, ayedi apartments, ayedi furnished units"
565,"sharafat, sharafat  kheej"
566,"fahad shabab  otaibi, fahad shabab matar  otaibi"
567,"iwan  andusia, iwan  andusia ajaweed"
568,"aqiq madinah hotel, aqiq madinah hotels company"
569,"saud, saud furnished suites"
570,"classical, classical suites"
571,"banyan tree alula, banyan tree"
572,"areen park, kyan park  areen"
573,"iya, iya hotel, bayt  iya"
574,"ocean park, ocean, ocean hotel"
575,"maroom, maroom hotel apartments"
576,"arouba, durrat  arouba"
577,"luxury apartment, khobar luxury apartment"
578,"moon city, moon city resort"
579,"najd, dar najd"
580,"ibtida', sama  ibtida"
581,"abraj, abraj  taif apartments"
582,"rafa' 1, rafa, rafa 2, rafa 3, rafa 3, rafa hotel, rafa, rafa apartments, rafa'a, rafa suites"
583,"burj  bay'ah, bay'ah, bay'ah hotel"
584,"sultana tower, sultana tower (monthly apartments)"
585,"nights furnished units, nights furnished suites"
586,"sakanai  khuzama, sakanai"
587,"rawdat  muruj, muruj"
588,"madinah garden apartments, golden garden  madinah"
589,"holiday inn  khobar, holiday inn corniche  khobar, holiday inn  khobar corniche"
590,"masfah hotel, jawhara  masfah"
591,"mokhtar 2, mokhtar furnished units"
592,"alaa, qasr alaa, alaa palace"
593,"super 8, super 8  wyndham"
594,"andalus habitat, habitat"
595,"seven garden's palace, seven garden palace, seven palace"
